Date,Description,Description - cleaned,Category,Money in,Money Out,Balance
01/01/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2655.77,,"4,455.77"
02/01/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"3,605.77"
02/01/2020,CARD PAYMENT TO BP,BP,Transport,,15.26,"3,590.51"
02/01/2020,CARD PAYMENT TO DELIVEROO,Deliveroo,Food & Drink,,23,"3,567.51"
03/01/2020,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,31.09,"3,536.42"
03/01/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,13.34,"3,523.08"
03/01/2020,CARD PAYMENT TO SHELL,Shell,Transport,,37.18,"3,485.90"
04/01/2020,CARD PAYMENT TO UBER,Uber,Transport,,38.64,"3,447.26"
04/01/2020,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,47.79,"3,399.47"
04/01/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,40.65,"3,358.82"
05/01/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,32.15,"3,326.67"
05/01/2020,CARD PAYMENT TO GREGGS,Greggs,Food & Drink,,25.88,"3,300.79"
05/01/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,46.49,"3,254.30"
07/01/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,30.52,"3,223.78"
07/01/2020,CARD PAYMENT TO CURRYS,Currys,Shopping,,131.25,"3,092.53"
09/01/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,52.77,"3,039.76"
11/01/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,41.78,"2,997.98"
11/01/2020,CARD PAYMENT TO CURRYS,Currys,Shopping,,76.08,"2,921.90"
11/01/2020,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,44.49,"2,877.41"
14/01/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,22.08,"2,855.33"
15/01/2020,CARD PAYMENT TO AMAZON,Amazon,Shopping,,52.79,"2,802.54"
17/01/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,23.97,"2,778.57"
18/01/2020,CARD PAYMENT TO UBER,Uber,Transport,,28.57,"2,750.00"
18/01/2020,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,6.24,"2,743.76"
20/01/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,41.72,"2,702.04"
22/01/2020,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,4.27,"2,697.77"
22/01/2020,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,19.94,"2,677.83"
22/01/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,43.09,"2,634.74"
23/01/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,53.04,"2,581.70"
23/01/2020,CARD PAYMENT TO ASDA,Asda,Groceries,,49.08,"2,532.62"
24/01/2020,CARD PAYMENT TO AMAZON,Amazon,Shopping,,63.43,"2,469.19"
24/01/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,5.15,"2,464.04"
25/01/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,46.07,"2,417.97"
27/01/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,39.31,"2,378.66"
29/01/2020,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,3.79,"2,374.87"
29/01/2020,CARD PAYMENT TO IKEA,Ikea,Shopping,,54.51,"2,320.36"
01/02/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2434.26,,"4,754.62"
01/02/2020,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,17.38,"4,737.24"
01/02/2020,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,34.69,"4,702.55"
02/02/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"3,852.55"
02/02/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,53.62,"3,798.93"
03/02/2020,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,92.51,"3,706.42"
03/02/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,59.76,"3,646.66"
04/02/2020,CARD PAYMENT TO APPLE,Apple,Subscriptions,,3.94,"3,642.72"
04/02/2020,CARD PAYMENT TO SHELL,Shell,Transport,,25.58,"3,617.14"
05/02/2020,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,63.77,"3,553.37"
05/02/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,48.35,"3,505.02"
07/02/2020,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,29.72,"3,475.30"
08/02/2020,CARD PAYMENT TO UBER EATS,Uber Eats,Food & Drink,,9.43,"3,465.87"
08/02/2020,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,10.63,"3,455.24"
09/02/2020,CARD PAYMENT TO UBER,Uber,Transport,,49.99,"3,405.25"
09/02/2020,CARD PAYMENT TO SHELL,Shell,Transport,,13.04,"3,392.21"
09/02/2020,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,45.41,"3,346.80"
10/02/2020,CARD PAYMENT TO ASDA,Asda,Groceries,,45.25,"3,301.55"
10/02/2020,CARD PAYMENT TO COSTA COFFEE,Costa Coffee,Food & Drink,,13.87,"3,287.68"
10/02/2020,CARD PAYMENT TO AMAZON,Amazon,Shopping,,56.03,"3,231.65"
12/02/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,13.26,"3,218.39"
12/02/2020,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,15.99,"3,202.40"
12/02/2020,CARD PAYMENT TO PRET,Pret,Food & Drink,,24.82,"3,177.58"
17/02/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,26.85,"3,150.73"
18/02/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,29.88,"3,120.85"
20/02/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,24.26,"3,096.59"
20/02/2020,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,5.04,"3,091.55"
21/02/2020,CARD PAYMENT TO LIDL,Lidl,Groceries,,49.94,"3,041.61"
23/02/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,41.3,"3,000.31"
24/02/2020,CARD PAYMENT TO LIDL,Lidl,Groceries,,12.57,"2,987.74"
25/02/2020,CARD PAYMENT TO UBER EATS,Uber Eats,Food & Drink,,4.83,"2,982.91"
26/02/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,76.5,"2,906.41"
01/03/2020,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2567.69,,"5,474.10"
01/03/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,43.49,"5,430.61"
01/03/2020,CARD PAYMENT TO CURRYS,Currys,Shopping,,58.83,"5,371.78"
02/03/2020,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"4,521.78"
02/03/2020,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,25.81,"4,495.97"
03/03/2020,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,25.65,"4,470.32"
05/03/2020,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,39.92,"4,430.40"
05/03/2020,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,44.64,"4,385.76"
05/03/2020,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,22.82,"4,362.94"
06/03/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,59.19,"4,303.75"
07/03/2020,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,71.75,"4,232.00"
07/03/2020,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,10.14,"4,221.86"
07/03/2020,CARD PAYMENT TO DELIVEROO,Deliveroo,Food & Drink,,17.94,"4,203.92"
08/03/2020,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,20.53,"4,183.39"
08/03/2020,CARD PAYMENT TO CURRYS,Currys,Shopping,,128.44,"4,054.95"
09/03/2020,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,16.49,"4,038.46"
12/03/2020,CARD PAYMENT TO STEAM,Steam,Recreation,,10.18,"4,028.28"
12/03/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,49.09,"3,979.19"
12/03/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,24.88,"3,954.31"
13/03/2020,CARD PAYMENT TO TESCO,Tesco,Groceries,,12.29,"3,942.02"
13/03/2020,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,6.62,"3,935.40"
15/03/2020,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,22.51,"3,912.89"
16/03/2020,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,19.97,"3,892.92"
16/03/2020,CARD PAYMENT TO SHELL,Shell,Transport,,26.39,"3,866.53"
